日付,入院治療を要する者
2020/2/4,15
2020/2/5,16
2020/2/6,12
2020/2/7,12
2020/2/8,7
2020/2/9,7
2020/2/10,7
2020/2/11,6
2020/2/12,6
2020/2/13,6
2020/2/14,9
2020/2/15,24
2020/2/16,24
2020/2/17,24
2020/2/18,31
2020/2/19,35
2020/2/20,52
2020/2/21,62
2020/2/22,96
2020/2/23,108
2020/2/24,121
2020/2/25,125
2020/2/26,138
2020/2/27,161
2020/2/28,176
2020/2/29,188
2020/3/1,201
2020/3/2,212
2020/3/3,226
2020/3/4,258
2020/3/5,271
2020/3/6,323
2020/3/7,366
2020/3/8,377
2020/3/9,400
2020/3/10,437
2020/3/11,481
2020/3/12,520
2020/3/13,548
2020/3/14,591
2020/3/15,603
2020/3/16,621
2020/3/17,645
2020/3/18,659
2020/3/19,681
2020/3/20,723
2020/3/21,719
2020/3/22,743
2020/3/23,763
2020/3/24,816
2020/3/25,855
2020/3/26,920
2020/3/27,948
2020/3/28,1187
2020/3/29,1358
2020/3/30,1423
2020/3/31,1594
2020/4/1,1757
2020/4/2,1980
2020/4/3,2227
2020/4/4,2553
2020/4/5,2921
2020/4/6,3132
2020/4/7,3472
2020/4/8,3914
2020/4/9,4461
2020/4/10,5063
2020/4/11,5751
2020/4/12,6239
2020/4/13,6564
2020/4/14,6961
2020/4/15,7388
2020/4/16,7884
2020/4/17,8448
2020/4/18,8916
2020/4/19,9215
2020/4/20,9449
2020/4/21,9740
2020/4/22,10082
2020/4/23,10469
2020/4/24,10801
2020/4/25,11046
2020/4/26,11175
2020/4/27,11252
2020/4/28,11427
2020/4/29,11585
2020/4/30,11424
2020/5/1,11558
2020/5/2,11724
2020/5/3,11823
2020/5/4,11935
2020/5/5,11731
2020/5/6,11638
2020/5/7,11286
2020/5/8,6302
2020/5/9,6250
2020/5/10,6074
2020/5/11,5914
2020/5/12,5162
2020/5/13,4732
2020/5/14,4339
2020/5/15,4025
2020/5/16,3787
2020/5/17,3667
2020/5/18,3400
2020/5/19,3009
2020/5/20,2761
2020/5/21,2495
2020/5/22,2293
2020/5/23,2130
2020/5/24,2111
2020/5/25,1939
2020/5/26,1788
2020/5/27,1637
2020/5/28,1556
2020/5/29,1466
2020/5/30,1452
2020/5/31,1436
2020/6/1,1341
2020/6/2,1270
2020/6/3,1207
2020/6/4,1141
2020/6/5,1064
2020/6/6,1042
2020/6/7,1060
2020/6/8,1028
2020/6/9,965
2020/6/10,923
2020/6/11,854
2020/6/12,810
2020/6/13,801
2020/6/14,819
2020/6/15,871
2020/6/16,760
2020/6/17,712
2020/6/18,707
2020/6/19,677
2020/6/20,711
2020/6/21,732
2020/6/22,706
2020/6/23,698
2020/6/24,713
2020/6/25,727
2020/6/26,757
2020/6/27,790
2020/6/28,822
2020/6/29,869
2020/6/30,897
2020/7/1,1006
2020/7/2,1105
2020/7/3,1224
2020/7/4,1386
2020/7/5,1550
2020/7/6,1671
2020/7/7,1721
2020/7/8,1776
2020/7/9,1929
2020/7/10,2139
2020/7/11,2339
2020/7/12,2587
2020/7/13,2754
2020/7/14,2789
2020/7/15,2885
2020/7/16,3191
2020/7/17,3560
2020/7/18,3865
2020/7/19,4113
2020/7/20,4345
2020/7/21,4421
2020/7/22,4751
2020/7/23,5369
2020/7/24,5949
2020/7/25,6315
2020/7/26,6573
2020/7/27,6828
2020/7/28,7063
2020/7/29,7508
2020/7/30,8062
2020/7/31,8945
2020/8/1,9427
2020/8/2,10422
2020/8/3,10963
2020/8/4,11665
2020/8/5,11910
2020/8/6,12159
2020/8/7,12539
2020/8/8,13011
2020/8/9,13633
2020/8/10,13724
2020/8/11,13610
2020/8/12,13286
2020/8/13,13039
2020/8/14,12976
2020/8/15,13072
2020/8/16,13008
2020/8/17,12767
2020/8/18,12084
2020/8/19,11686
2020/8/20,11709
2020/8/21,11597
2020/8/22,11732
2020/8/23,11718
2020/8/24,11211
2020/8/25,10647
2020/8/26,10306
2020/8/27,10111
2020/8/28,9697
2020/8/29,9696
2020/8/30,9649
2020/8/31,9135
2020/9/1,9108
2020/9/2,8604
2020/9/3,8363
2020/9/4,7957
2020/9/5,7908
2020/9/6,7868
2020/9/7,7439
2020/9/8,7098
2020/9/9,6839
2020/9/10,6761
2020/9/11,6684
2020/9/12,6754
2020/9/13,6841
2020/9/14,6567
2020/9/15,6346
2020/9/16,6174
2020/9/17,6014
2020/9/18,6028
2020/9/19,6026
2020/9/20,6132
2020/9/21,6168
2020/9/22,6125
2020/9/23,5904
2020/9/24,5381
2020/9/25,5260
2020/9/26,5446
2020/9/27,5498
2020/9/28,5373
2020/9/29,5324
2020/9/30,5298
2020/10/1,5320
2020/10/2,5275
2020/10/3,5314
2020/10/4,5401
2020/10/5,5258
2020/10/6,5130
2020/10/7,5056
2020/10/8,5160
2020/10/9,5120
2020/10/10,5292
2020/10/11,5443
2020/10/12,5245
2020/10/13,5162
2020/10/14,5054
2020/10/15,5176
2020/10/16,5205
2020/10/17,5326
2020/10/18,5375
2020/10/19,5174
2020/10/20,5031
2020/10/21,5037
2020/10/22,5067
2020/10/23,5216
2020/10/24,5436
2020/10/25,5503
2020/10/26,5499
2020/10/27,5446
2020/10/28,5642
