日付,PCR 検査陽性者数(単日)
2020/1/16,1
2020/1/17,0
2020/1/18,0
2020/1/19,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,1
2020/1/25,1
2020/1/26,1
2020/1/27,0
2020/1/28,3
2020/1/29,1
2020/1/30,3
2020/1/31,1
2020/2/1,0
2020/2/2,0
2020/2/3,0
2020/2/4,2
2020/2/5,2
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,1
2020/2/13,4
2020/2/14,7
2020/2/15,12
2020/2/16,6
2020/2/17,7
2020/2/18,7
2020/2/19,10
2020/2/20,9
2020/2/21,11
2020/2/22,27
2020/2/23,12
2020/2/24,12
2020/2/25,8
2020/2/26,22
2020/2/27,24
2020/2/28,20
2020/2/29,9
2020/3/1,15
2020/3/2,14
2020/3/3,16
2020/3/4,33
2020/3/5,31
2020/3/6,59
2020/3/7,47
2020/3/8,33
2020/3/9,26
2020/3/10,54
2020/3/11,52
2020/3/12,55
2020/3/13,40
2020/3/14,62
2020/3/15,33
2020/3/16,15
2020/3/17,44
2020/3/18,39
2020/3/19,36
2020/3/20,53
2020/3/21,34
2020/3/22,42
2020/3/23,38
2020/3/24,65
2020/3/25,93
2020/3/26,96
2020/3/27,104
2020/3/28,194
2020/3/29,185
2020/3/30,74
2020/3/31,218
2020/4/1,224
2020/4/2,253
2020/4/3,337
2020/4/4,370
2020/4/5,386
2020/4/6,270
2020/4/7,377
2020/4/8,550
2020/4/9,572
2020/4/10,708
2020/4/11,676
2020/4/12,571
2020/4/13,333
2020/4/14,511
2020/4/15,511
2020/4/16,596
2020/4/17,575
2020/4/18,590
2020/4/19,372
2020/4/20,365
2020/4/21,374
2020/4/22,450
2020/4/23,445
2020/4/24,451
2020/4/25,374
2020/4/26,221
2020/4/27,189
2020/4/28,284
2020/4/29,227
2020/4/30,199
2020/5/1,266
2020/5/2,302
2020/5/3,204
2020/5/4,177
2020/5/5,120
2020/5/6,106
2020/5/7,96
2020/5/8,89
2020/5/9,108
2020/5/10,68
2020/5/11,50
2020/5/12,80
2020/5/13,54
2020/5/14,100
2020/5/15,52
2020/5/16,57
2020/5/17,30
2020/5/18,30
2020/5/19,31
2020/5/20,38
2020/5/21,43
2020/5/22,31
2020/5/23,29
2020/5/24,40
2020/5/25,20
2020/5/26,27
2020/5/27,37
2020/5/28,61
2020/5/29,64
2020/5/30,46
2020/5/31,32
2020/6/1,36
2020/6/2,51
2020/6/3,26
2020/6/4,45
2020/6/5,41
2020/6/6,45
2020/6/7,32
2020/6/8,22
2020/6/9,30
2020/6/10,36
2020/6/11,40
2020/6/12,57
2020/6/13,43
2020/6/14,62
2020/6/15,60
2020/6/16,42
2020/6/17,43
2020/6/18,68
2020/6/19,54
2020/6/20,65
2020/6/21,49
2020/6/22,40
2020/6/23,53
2020/6/24,89
2020/6/25,79
2020/6/26,99
2020/6/27,88
2020/6/28,111
2020/6/29,110
2020/6/30,132
2020/7/1,125
2020/7/2,194
2020/7/3,249
2020/7/4,268
2020/7/5,195
2020/7/6,172
2020/7/7,208
2020/7/8,203
2020/7/9,352
2020/7/10,420
2020/7/11,373
2020/7/12,391
2020/7/13,248
2020/7/14,327
2020/7/15,440
2020/7/16,619
2020/7/17,588
2020/7/18,655
2020/7/19,501
2020/7/20,407
2020/7/21,618
2020/7/22,792
2020/7/23,966
2020/7/24,766
2020/7/25,798
2020/7/26,830
2020/7/27,581
2020/7/28,968
2020/7/29,1242
2020/7/30,1297
2020/7/31,1574
2020/8/1,1535
2020/8/2,1324
2020/8/3,937
2020/8/4,1234
2020/8/5,1350
2020/8/6,1479
2020/8/7,1595
2020/8/8,1523
2020/8/9,1486
2020/8/10,836
2020/8/11,693
2020/8/12,969
2020/8/13,1176
2020/8/14,1356
2020/8/15,1234
2020/8/16,1017
2020/8/17,630
2020/8/18,904
2020/8/19,1080
2020/8/20,1182
2020/8/21,1036
2020/8/22,985
2020/8/23,739
2020/8/24,491
2020/8/25,712
2020/8/26,893
2020/8/27,867
2020/8/28,870
2020/8/29,844
2020/8/30,598
2020/8/31,425
2020/9/1,624
2020/9/2,589
2020/9/3,656
2020/9/4,583
2020/9/5,598
2020/9/6,447
2020/9/7,288
2020/9/8,514
2020/9/9,507
2020/9/10,709
2020/9/11,639
2020/9/12,641
2020/9/13,439
2020/9/14,265
2020/9/15,531
2020/9/16,543
2020/9/17,480
2020/9/18,569
2020/9/19,597
2020/9/20,469
2020/9/21,307
2020/9/22,322
2020/9/23,216
2020/9/24,477
2020/9/25,570
2020/9/26,638
2020/9/27,478
2020/9/28,294
2020/9/29,531
2020/9/30,570
2020/10/1,623
2020/10/2,537
