日付,PCR 検査実施件数(単日)
2020/2/5,4
2020/2/6,19
2020/2/7,9
2020/2/8,4
2020/2/9,10
2020/2/10,12
2020/2/11,4
2020/2/12,10
2020/2/13,16
2020/2/14,43
2020/2/15,86
2020/2/16,65
2020/2/17,113
2020/2/18,9
2020/2/19,71
2020/2/20,90
2020/2/21,85
2020/2/22,96
2020/2/23,39
2020/2/24,104
2020/2/25,44
2020/2/26,168
2020/2/27,151
2020/2/28,130
2020/2/29,178
2020/3/1,96
2020/3/2,71
2020/3/3,153
2020/3/4,3940
2020/3/5,699
2020/3/6,553
2020/3/7,147
2020/3/8,110
2020/3/9,1314
2020/3/10,424
2020/3/11,181
2020/3/12,1855
2020/3/13,859
2020/3/14,107
2020/3/15,42
2020/3/16,2083
2020/3/17,203
2020/3/19,3490
2020/3/20,119
2020/3/21,132
2020/3/22,56
2020/3/23,3862
2020/3/25,674
2020/3/26,1805
2020/3/27,1442
2020/3/28,296
2020/3/29,206
2020/3/30,3481
2020/3/31,1914
2020/4/2,4685
2020/4/3,3305
2020/4/4,271
2020/4/5,218
2020/4/6,7876
2020/4/7,4544
2020/4/8,1383
2020/4/9,2841
2020/4/10,5389
2020/4/11,1644
2020/4/12,57
2020/4/13,9252
2020/4/14,8255
2020/4/15,693
2020/4/16,5325
2020/4/17,4149
2020/4/18,1004
2020/4/19,2953
2020/4/20,6816
2020/4/21,5542
2020/4/22,4415
2020/4/23,5349
2020/4/24,5187
2020/4/25,1250
2020/4/26,1136
2020/4/27,8545
2020/4/28,3244
2020/4/29,879
2020/4/30,8126
2020/5/1,6820
2020/5/2,880
2020/5/3,1012
2020/5/4,1332
2020/5/5,1569
2020/5/6,447
2020/5/7,13005
2020/5/8,10680
2020/5/9,2265
2020/5/10,3995
2020/5/11,5993
2020/5/12,288
2020/5/13,10074
2020/5/14,5866
2020/5/15,3092
2020/5/16,4337
2020/5/17,4987
2020/5/18,5980
2020/5/19,3221
2020/5/20,3669
2020/5/21,4580
2020/5/22,3495
2020/5/23,2769
2020/5/24,1252
2020/5/25,3620
2020/5/26,2994
2020/5/27,3004
2020/5/28,3981
2020/5/29,3501
2020/5/30,2652
2020/5/31,1657
2020/6/1,3789
2020/6/2,4526
2020/6/3,3979
2020/6/4,4600
2020/6/5,4939
2020/6/6,3220
2020/6/7,1725
2020/6/8,4516
2020/6/9,4600
2020/6/10,5092
2020/6/11,4573
2020/6/12,5145
2020/6/13,2633
2020/6/14,1451
2020/6/15,4300
2020/6/16,4462
2020/6/17,1348
2020/6/18,6176
2020/6/19,4823
2020/6/20,2474
2020/6/21,4127
2020/6/22,5376
2020/6/23,3722
2020/6/24,4979
2020/6/25,4455
2020/6/26,4758
2020/6/27,3533
2020/6/28,1513
2020/6/29,5510
2020/6/30,4651
2020/7/1,6564
2020/7/2,5460
2020/7/3,6597
2020/7/4,3134
2020/7/5,2618
2020/7/6,8228
2020/7/7,7099
2020/7/8,7725
2020/7/9,7700
2020/7/10,8955
2020/7/11,5362
2020/7/12,1838
2020/7/13,10552
2020/7/14,11154
2020/7/15,11343
2020/7/16,16683
2020/7/17,12994
2020/7/18,7166
2020/7/19,3262
2020/7/20,15959
2020/7/21,12114
2020/7/22,16357
2020/7/23,8310
2020/7/24,5695
2020/7/25,9530
2020/7/26,3785
2020/7/27,24182
2020/7/28,18086
2020/7/29,18669
2020/7/30,19687
2020/7/31,17354
2020/8/1,9606
2020/8/2,10599
2020/8/3,25794
2020/8/4,18740
2020/8/5,39723
2020/8/6,22015
2020/8/7,22698
2020/8/8,13676
2020/8/9,13336
2020/8/10,6440
2020/8/11,32939
2020/8/12,25782
2020/8/13,21062
2020/8/14,55240
2020/8/15,11750
2020/8/16,7438
2020/8/17,25835
2020/8/18,21130
2020/8/19,21937
2020/8/20,21889
2020/8/21,21866
2020/8/22,13348
2020/8/23,10953
2020/8/24,22051
2020/8/25,18238
2020/8/26,19353
2020/8/27,21546
2020/8/28,18597
2020/8/29,12915
2020/8/30,9577
2020/8/31,21529
2020/9/1,18131
2020/9/2,24123
2020/9/3,22991
2020/9/4,15457
2020/9/5,11930
2020/9/6,4175
2020/9/7,24012
2020/9/8,14637
2020/9/9,23072
2020/9/10,22306
2020/9/11,16479
2020/9/12,10545
2020/9/13,472
2020/9/14,25446
2020/9/15,20163
2020/9/16,18314
2020/9/17,23313
2020/9/18,17605
2020/9/19,9530
2020/9/20,6153
2020/9/21,2778
2020/9/22,3386
2020/9/23,26925
2020/9/24,19021
2020/9/25,28526
2020/9/26,10522
2020/9/27,4550
2020/9/28,19750
2020/9/29,103676
2020/9/30,19462
2020/10/1,17671
2020/10/2,21860
2020/10/3,13684
2020/10/4,4928
2020/10/5,21865
2020/10/6,20435
2020/10/7,21401
2020/10/8,21397
2020/10/9,19697
2020/10/10,10803
2020/10/11,5077
2020/10/12,23235
2020/10/13,19828
2020/10/14,21837
2020/10/15,20737
2020/10/16,20701
2020/10/17,9896
2020/10/18,5123
2020/10/19,21920
2020/10/20,15486
2020/10/21,22144
2020/10/22,23418
2020/10/23,22880
2020/10/24,13211
2020/10/25,5427
2020/10/26,22602
2020/10/27,25714
2020/10/28,23064
2020/10/29,20504
2020/10/30,21782
2020/10/31,11398
2020/11/1,6214
2020/11/2,21535
2020/11/3,7477
2020/11/4,21840
2020/11/5,29533
2020/11/6,28237
2020/11/7,13460
2020/11/8,8004
2020/11/9,25476
2020/11/10,25179
2020/11/11,33681
2020/11/12,29912
2020/11/13,24038
2020/11/14,16651
2020/11/15,9127
2020/11/16,30109
2020/11/17,27634
2020/11/18,34630
2020/11/19,37810
2020/11/20,41770
2020/11/21,24924
2020/11/22,20389
2020/11/23,9560
2020/11/24,43773
2020/11/25,41052
2020/11/26,42634
2020/11/27,43351
2020/11/28,22307
