"year","month","date","prefectureNameJ","prefectureNameE","testedPositive","peopleTested","discharged","deaths"
2020,3,11,"北海道","Hokkaido",118,1069,"",""
2020,3,11,"青森県","Aomori",0,58,"",""
2020,3,11,"岩手県","Iwate",0,20,"",""
2020,3,11,"宮城県","Miyagi",1,94,"",""
2020,3,11,"秋田県","Akita",2,40,"",""
2020,3,11,"山形県","Yamagata",0,96,"",""
2020,3,11,"福島県","Fukushima",1,93,"",""
2020,3,11,"茨城県","Ibaraki",0,302,"",""
2020,3,11,"栃木県","Tochigi",2,170,"",""
2020,3,11,"群馬県","Gunma",1,81,"",""
2020,3,11,"埼玉県","Saitama",12,264,"",""
2020,3,11,"千葉県","Chiba",25,"","",""
2020,3,11,"東京都","Tokyo",73,1440,"",""
2020,3,11,"神奈川県","Kanagawa",43,"","",""
2020,3,11,"新潟県","Niigata",11,"","",""
2020,3,11,"富山県","Toyama",0,44,"",""
2020,3,11,"石川県","Ishikawa",7,134,"",""
2020,3,11,"福井県","Fukui",0,71,"",""
2020,3,11,"山梨県","Yamanashi",2,236,"",""
2020,3,11,"長野県","Nagano",3,231,"",""
2020,3,11,"岐阜県","Gifu",2,201,"",""
2020,3,11,"静岡県","Shizuoka",2,"","",""
2020,3,11,"愛知県","Aichi",104,274,"",""
2020,3,11,"三重県","Mie",2,155,"",""
2020,3,11,"滋賀県","Shiga",1,88,"",""
2020,3,11,"京都府","Kyoto",15,440,"",""
2020,3,11,"大阪府","Osaka",81,"","",""
2020,3,11,"兵庫県","Hyogo",35,443,"",""
2020,3,11,"奈良県","Nara",8,102,"",""
2020,3,11,"和歌山県","Wakayama",14,982,"",""
2020,3,11,"鳥取県","Tottori",0,82,"",""
2020,3,11,"島根県","Shimane",0,64,"",""
2020,3,11,"岡山県","Okayama",0,125,"",""
2020,3,11,"広島県","Hiroshima",1,290,"",""
2020,3,11,"山口県","Yamaguchi",3,113,"",""
2020,3,11,"徳島県","Tokushima",1,62,"",""
2020,3,11,"香川県","Kagawa",0,88,"",""
2020,3,11,"愛媛県","Ehime",2,149,"",""
2020,3,11,"高知県","Kochi",12,157,"",""
2020,3,11,"福岡県","Fukuoka",3,492,"",""
2020,3,11,"佐賀県","Saga",0,47,"",""
2020,3,11,"長崎県","Nagasaki",0,133,"",""
2020,3,11,"熊本県","Kumamoto",6,"","",""
2020,3,11,"大分県","Oita",1,137,"",""
