日付,重症者数
2020/2/5,0
2020/2/6,0
2020/2/7,0
2020/2/8,0
2020/2/9,0
2020/2/10,0
2020/2/11,0
2020/2/12,0
2020/2/13,0
2020/2/14,2
2020/2/15,3
2020/2/16,3
2020/2/17,3
2020/2/18,6
2020/2/19,7
2020/2/20,9
2020/2/21,10
2020/2/22,11
2020/2/23,13
2020/2/24,14
2020/2/25,15
2020/2/26,16
2020/2/27,20
2020/2/28,22
2020/2/29,23
2020/3/1,23
2020/3/2,24
2020/3/3,24
2020/3/4,27
2020/3/5,30
2020/3/6,28
2020/3/7,33
2020/3/8,33
2020/3/9,31
2020/3/10,26
2020/3/11,29
2020/3/12,32
2020/3/13,35
2020/3/14,36
2020/3/15,41
2020/3/16,46
2020/3/17,46
2020/3/18,49
2020/3/19,50
2020/3/20,55
2020/3/21,57
2020/3/22,54
2020/3/23,55
2020/3/24,57
2020/3/25,56
2020/3/26,57
2020/3/27,60
2020/3/28,59
2020/3/29,59
2020/3/30,59
2020/3/31,60
2020/4/1,62
2020/4/2,64
2020/4/3,69
2020/4/4,70
2020/4/5,79
2020/4/6,80
2020/4/7,99
2020/4/8,109
2020/4/9,117
2020/4/10,122
2020/4/11,129
2020/4/12,135
2020/4/13,152
2020/4/14,168
2020/4/15,193
2020/4/16,207
2020/4/17,211
2020/4/18,217
2020/4/19,231
2020/4/20,232
2020/4/21,241
2020/4/22,259
2020/4/23,263
2020/4/24,287
2020/4/25,296
2020/4/26,300
2020/4/27,305
2020/4/28,306
2020/4/29,308
2020/4/30,328
2020/5/1,324
2020/5/2,321
2020/5/3,308
2020/5/4,309
2020/5/5,308
2020/5/6,300
2020/5/7,287
2020/5/8,266
2020/5/9,267
2020/5/10,249
2020/5/11,243
2020/5/12,259
2020/5/13,245
2020/5/14,237
2020/5/15,232
2020/5/16,230
2020/5/17,228
2020/5/18,213
2020/5/19,210
2020/5/20,195
2020/5/21,176
2020/5/22,174
2020/5/23,168
2020/5/24,165
2020/5/25,155
2020/5/26,147
2020/5/27,136
2020/5/28,131
2020/5/29,123
2020/5/30,119
2020/5/31,115
2020/6/1,113
2020/6/2,101
2020/6/3,102
2020/6/4,98
2020/6/5,99
2020/6/6,98
2020/6/7,99
2020/6/8,92
2020/6/9,91
2020/6/10,88
2020/6/11,82
2020/6/12,76
2020/6/13,73
2020/6/14,71
2020/6/15,80
2020/6/16,70
2020/6/17,62
2020/6/18,62
2020/6/19,61
2020/6/20,59
2020/6/21,59
2020/6/22,62
2020/6/23,60
2020/6/24,58
2020/6/25,51
2020/6/26,48
2020/6/27,45
2020/6/28,43
2020/6/29,42
2020/6/30,40
2020/7/1,37
2020/7/2,33
2020/7/3,32
2020/7/4,33
2020/7/5,34
2020/7/6,36
2020/7/7,35
2020/7/8,38
2020/7/9,31
2020/7/10,33
2020/7/11,32
2020/7/12,34
2020/7/13,40
2020/7/14,38
2020/7/15,37
2020/7/16,39
2020/7/17,41
2020/7/18,43
2020/7/19,47
2020/7/20,52
2020/7/21,55
2020/7/22,59
2020/7/23,68
2020/7/24,64
2020/7/25,66
2020/7/26,67
2020/7/27,76
2020/7/28,81
2020/7/29,90
2020/7/30,87
2020/7/31,80
2020/8/1,83
2020/8/2,87
2020/8/3,88
2020/8/4,104
2020/8/5,115
2020/8/6,131
2020/8/7,140
2020/8/8,156
2020/8/9,162
2020/8/10,171
2020/8/11,177
2020/8/12,203
2020/8/13,211
2020/8/14,229
2020/8/15,232
2020/8/16,243
2020/8/17,243
2020/8/18,239
2020/8/19,237
2020/8/20,243
2020/8/21,243
2020/8/22,254
2020/8/23,259
2020/8/24,252
2020/8/25,246
2020/8/26,238
2020/8/27,227
2020/8/28,230
2020/8/29,234
2020/8/30,236
2020/8/31,234
2020/9/1,225
2020/9/2,218
2020/9/3,214
2020/9/4,210
2020/9/5,211
2020/9/6,209
2020/9/7,202
2020/9/8,202
2020/9/9,198
2020/9/10,191
2020/9/11,190
2020/9/12,180
2020/9/13,185
2020/9/14,174
2020/9/15,178
2020/9/16,167
2020/9/17,170
2020/9/18,161
2020/9/19,159
2020/9/20,163
2020/9/21,164
2020/9/22,165
2020/9/23,166
2020/9/24,163
2020/9/25,156
2020/9/26,160
2020/9/27,159
2020/9/28,161
2020/9/29,151
2020/9/30,151
2020/10/1,145
2020/10/2,137
2020/10/3,133
2020/10/4,131
2020/10/5,140
2020/10/6,141
2020/10/7,143
2020/10/8,141
2020/10/9,147
2020/10/10,145
2020/10/11,146
2020/10/12,148
2020/10/13,150
2020/10/14,146
2020/10/15,148
2020/10/16,148
2020/10/17,145
2020/10/18,144
2020/10/19,143
2020/10/20,150
2020/10/21,150
2020/10/22,151
2020/10/23,155
2020/10/24,159
2020/10/25,162
2020/10/26,165
2020/10/27,166
2020/10/28,161
2020/10/29,156
2020/10/30,161
2020/10/31,160
2020/11/1,163
2020/11/2,163
2020/11/3,165
2020/11/4,183
2020/11/5,189
2020/11/6,194
2020/11/7,196
2020/11/8,204
2020/11/9,208
2020/11/10,204
2020/11/11,226
2020/11/12,231
2020/11/13,234
2020/11/14,243
2020/11/15,251
2020/11/16,272
2020/11/17,276
2020/11/18,280
2020/11/19,291
2020/11/20,313
2020/11/21,323
2020/11/22,331
2020/11/23,345
2020/11/24,376
2020/11/25,410
2020/11/26,435
2020/11/27,440
2020/11/28,462
2020/11/29,472
2020/11/30,493
2020/12/1,488
2020/12/2,497
2020/12/3,505
2020/12/4,520
2020/12/5,519
2020/12/6,530
2020/12/7,536
2020/12/8,555
2020/12/9,543
2020/12/10,554
2020/12/11,578
2020/12/12,583
2020/12/13,588
2020/12/14,592
2020/12/15,618
2020/12/16,605
2020/12/17,609
2020/12/18,598
2020/12/19,593
2020/12/20,603
2020/12/21,620
2020/12/22,619
2020/12/23,644
2020/12/24,644
2020/12/25,654
2020/12/26,659
2020/12/27,661
2020/12/28,675
2020/12/29,668
2020/12/30,681
2020/12/31,716
2021/1/1,711
2021/1/2,714
2021/1/3,731
2021/1/4,771
2021/1/5,784
2021/1/6,796
2021/1/7,826
2021/1/8,827
2021/1/9,852
2021/1/10,864
2021/1/11,881
2021/1/12,900
2021/1/13,920
2021/1/14,934
2021/1/15,965
2021/1/16,972
2021/1/17,973
2021/1/18,1001
2021/1/19,1014
